p.value,m.z,t.score,pos_inx
2.13336725396215e-05,233.06336,-30.5567454899284,1
2.25452556033702e-05,249.03711,-27.0588958958929,1
2.30551347159724e-05,320.09213,12.4198032442972,0
2.33023322471801e-05,404.01435,11.7656628318393,0
2.37558908220669e-05,346.05585,15.4704880617891,0
2.3944736998755e-05,249.03713,-26.757526114342,1
2.53536043654603e-05,306.07641,29.5255924735069,0
2.53957276480152e-05,462.90893,-17.6938619061583,0
2.57258108804771e-05,244.04348,-14.2791625740198,0
2.5817045714343e-05,197.1008,-15.8954867872693,1
2.68429174330231e-05,253.00827,-11.4344616960747,1
2.68482133835544e-05,329.06039,-12.4705636569744,0
2.69495641224874e-05,502.05961,13.3037722954829,0
2.80828827513422e-05,345.11216,-26.3368162863015,1
2.8346610027555e-05,589.0452,12.5113784347303,1
2.83607397739344e-05,191.01974,-11.6802008311204,0
2.90090495523345e-05,523.2745,15.7519687440076,1
2.94600743274813e-05,452.92431,-14.9829720526049,1
3.08748544830878e-05,329.06024,-16.5935997200716,0
3.09089821832695e-05,538.12713,11.9730916710397,1
3.15298702238522e-05,264.92618,-16.9883747916246,0
3.18894387062393e-05,484.11659,11.112177390648,1
3.19073647899711e-05,501.01529,23.8533279508241,0
3.24052094120536e-05,358.11066,-14.6239697399958,1
3.25855262963169e-05,258.05928,-16.5663156263791,0
3.33102110201229e-05,316.11671,17.6219534978196,0
3.42419557108893e-05,579.02696,19.850002363868,0
3.48919723591485e-05,520.86776,-17.083943046896,0
3.70780482050921e-05,577.89008,25.7015872773294,0
3.71090238200353e-05,219.00522,-25.5834198068771,1
3.88317658823968e-05,606.07427,13.2275028577438,0
4.08588928333253e-05,602.15803,10.9284850304027,1
4.1146807877796e-05,253.00829,-14.5262026948203,1
4.28543724061899e-05,480.20068,10.57466436596,1
4.47992430887156e-05,233.063,-26.2737536852643,1
4.519372857812e-05,384.20508,10.8273421485158,1
4.54376729692667e-05,159.04514,-14.0553773617171,0
4.56385311689526e-05,401.34501,-13.4867179569475,1
4.78585754076292e-05,156.99087,10.5506714825915,0
4.86485221429634e-05,233.06455,-24.3363077577347,1
4.97803924527573e-05,228.04677,-16.0995976902657,0
5.06493177382597e-05,338.10928,-14.5660585603587,0
5.125095213601e-05,139.02139,10.7356698746862,1
5.17023541916523e-05,414.04287,-17.5887668042611,0
5.27403321358225e-05,261.05425,14.395054176713,0
5.34371317355084e-05,579.07325,-13.2825524729799,0
5.4862610610941e-05,376.10614,-14.7638231571395,1
